Year,iso_code3,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other
2013,FIN,0.0068098361662181
2014,FIN,0.0068625809690267
2015,FIN,0.0055608841184923
2016,FIN,0.0058517875643193
2017,FIN,0.0047530968786101
2018,FIN,0.0047178898762861
2019,FIN,0.0046612079670736
2020,FIN,0.0046058718702089
2010,FJI,0.3621251337867607
2011,FJI,0.3683884800807728
2012,FJI,0.3908818334475288
2013,FJI,0.398835622398837
2014,FJI,0.3941738056309868
2015,FJI,0.3755236949887874
2016,FJI,0.384392874288515
2017,FJI,0.4028117135774458
2018,FJI,0.4335107758850137
2019,FJI,0.4308275425433202
2020,FJI,0.4281773208478834
2010,FRA,0.0421157783819209
2011,FRA,0.0500694260059421
2012,FRA,0.0516816013799568
2013,FRA,0.0521786006111649
2014,FRA,0.0633978760884364
2015,FRA,0.0673312481934271
2016,FRA,0.065692423128991
2017,FRA,0.0622026008998533
2018,FRA,0.071244693514796
2019,FRA,0.0708396726410554
2020,FRA,0.0704392307641625
2010,FRO,0.0
2011,FRO,0.0
2012,FRO,0.0
2013,FRO,0.0
2014,FRO,0.0
2015,FRO,0.0
2016,FRO,0.0
2017,FRO,0.0
2018,FRO,0.0
2019,FRO,0.0
2020,FRO,0.0
2010,FSM,0.0
2011,FSM,0.0
2012,FSM,0.0
2013,FSM,0.0
2014,FSM,0.0
2015,FSM,0.0
2016,FSM,0.0
2017,FSM,0.0
2018,FSM,0.0
2019,FSM,0.0
2020,FSM,0.0
2010,GAB,0.3337248320447482
2011,GAB,0.3304772104597696
2012,GAB,0.342119440606826
2013,GAB,0.3412638685452016
2014,GAB,0.3303026095865996
2015,GAB,0.3086496833147248
2016,GAB,0.3127937952012375
2017,GAB,0.3245905609091076
2018,GAB,0.3460016045565404
2019,GAB,0.3406560591132587
2020,GAB,0.3354731724881073
2010,GBR,0.0492195541187224
2011,GBR,0.0471633371596138
2012,GBR,0.0471943108184373
2013,GBR,0.0475732577695505
2014,GBR,0.0492174003559746
2015,GBR,0.0510423410428393
2016,GBR,0.0539987057867464
2017,GBR,0.0572814840452835
2018,GBR,0.057816733327236
2019,GBR,0.0574319965656526
2020,GBR,0.0570523463551645
2010,GEO,0.0
2011,GEO,0.0
2012,GEO,0.0
2013,GEO,0.0
