,Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change
Origin State,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022
North Dakota,156.505,161.285,153.715,158.108,164.116,,"3,05%","-4,69%","2,86%","3,80%",181.255,174.303,135.252,202.747,277.16,,"-3,84%","-22,40%","49,90%","36,70%",507.807,514.312,471.29,488.934,510.381,,"1,28%","-8,36%","3,74%","4,39%",332.561,347.459,315.324,325.521,337.792,,"4,48%","-9,25%","3,23%","3,77%"
Ohio,702.779,687.215,651.642,654.083,664.734,,"-2,21%","-5,18%","0,37%","1,63%",730.651,713.292,665.735,771.258,908.67,,"-2,38%","-6,67%","15,85%","17,82%",708.135,688.911,672.586,688.719,691.398,,"-2,71%","-2,37%","2,40%","0,39%",162.432,155.842,150.256,149.526,147.534,,"-4,06%","-3,58%","-0,49%","-1,33%"
Oklahoma,179.871,180.786,170.252,169.651,171.306,,"0,51%","-5,83%","-0,35%","0,98%",191.675,186.828,166.109,205.771,257.337,,"-2,53%","-11,09%","23,88%","25,06%",321.32,335.298,310.106,298.688,303.356,,"4,35%","-7,51%","-3,68%","1,56%",80.464,84.6,77.326,75.019,73.782,,"5,14%","-8,60%","-2,98%","-1,65%"
Oregon,189.828,187.46,183.217,185.547,187.467,,"-1,25%","-2,26%","1,27%","1,03%",196.124,193.688,189,215.82,249.558,,"-1,24%","-2,42%","14,19%","15,63%",237.621,230.123,221.069,224.227,232.769,,"-3,16%","-3,93%","1,43%","3,81%",60.379,58.771,57.249,57.243,59.593,,"-2,66%","-2,59%","-0,01%","4,11%"
Pennsylvania,751.582,752.547,722.415,726.092,740.461,,"0,13%","-4,00%","0,51%","1,98%",783.918,782.408,741.91,852.763,1.006.112,,"-0,19%","-5,18%","14,94%","17,98%",692.55,704.556,659.297,665.722,686.905,,"1,73%","-6,42%","0,97%","3,18%",133.284,136.649,127.488,127.833,129.926,,"2,52%","-6,70%","0,27%","1,64%"
Rhode Island,59.333,60.274,55.594,54.233,54.45,,"1,59%","-7,76%","-2,45%","0,40%",61.591,62.449,56.576,63.655,74.323,,"1,39%","-9,40%","12,51%","16,76%",35.4,36.124,34.107,34.876,35.41,,"2,05%","-5,59%","2,25%","1,53%",4.046,3.686,3.323,3.296,3.155,,"-8,89%","-9,85%","-0,81%","-4,28%"
South Carolina,294.959,297.153,272.927,276.014,280.845,,"0,74%","-8,15%","1,13%","1,75%",304.246,306.673,280.446,318.2,362.911,,"0,80%","-8,55%","13,46%","14,05%",229.308,221.514,211.956,213.4,218.557,,"-3,40%","-4,32%","0,68%","2,42%",50.312,48.565,46.814,45.866,47.369,,"-3,47%","-3,60%","-2,03%","3,28%"
South Dakota,54.762,51.019,51.575,53.276,53.132,,"-6,83%","1,09%","3,30%","-0,27%",56.807,52.323,51.779,66.086,80.353,,"-7,89%","-1,04%","27,63%","21,59%",153.431,132.775,146.179,148.123,142.542,,"-13,46%","10,10%","1,33%","-3,77%",51.339,43.578,48.105,49.203,47.587,,"-15,12%","10,39%","2,28%","-3,28%"
Tennessee,500.765,490.969,470.641,477.13,478.739,,"-1,96%","-4,14%","1,38%","0,34%",517.556,509.4,483.984,547.994,625.89,,"-1,58%","-4,99%","13,23%","14,21%",371.394,379.574,371.968,380.18,380.516,,"2,20%","-2,00%","2,21%","0,09%",83.559,83.908,80.294,81.75,82.379,,"0,42%","-4,31%","1,81%","0,77%"
Texas,2.407.746,2.417.465,2.257.056,2.332.877,2.419.193,,"0,40%","-6,64%","3,36%","3,70%",2.606.090,2.536.967,2.183.290,2.822.010,3.637.243,,"-2,65%","-13,94%","29,25%","28,89%",2.841.032,2.927.785,2.769.914,2.838.540,2.858.845,,"3,05%","-5,39%","2,48%","0,72%",702.445,740.043,705.057,723.179,728.383,,"5,35%","-4,73%","2,57%","0,72%"
Utah,159.882,160.572,154.752,154.656,154.11,,"0,43%","-3,62%","-0,06%","-0,35%",166.657,166.39,157.179,182.138,214.909,,"-0,16%","-5,54%","15,88%","17,99%",176.418,179.297,167.521,172.21,169.72,,"1,63%","-6,57%","2,80%","-1,45%",51.546,51.189,46.031,46.295,46.535,,"-0,69%","-10,08%","0,57%","0,52%"
Vermont,36.556,36.702,34.323,33.302,33.513,,"0,40%","-6,48%","-2,97%","0,63%",37.595,37.906,35.509,38.015,43.939,,"0,83%","-6,33%","7,06%","15,58%",34.56,34.438,32.11,32.59,32.503,,"-0,35%","-6,76%","1,49%","-0,27%",8.051,8.198,7.596,7.595,7.793,,"1,82%","-7,33%","-0,01%","2,61%"
Virginia,334.084,329.595,313.36,323.662,326.776,,"-1,34%","-4,93%","3,29%","0,96%",344.318,341.779,324.926,373.551,430.1,,"-0,74%","-4,93%","14,97%","15,14%",347.693,357.026,347.524,364.755,364.919,,"2,68%","-2,66%","4,96%","0,05%",61.715,62.581,61.243,63.05,63.783,,"1,40%","-2,14%","2,95%","1,16%"
Washington,484.951,458.871,416.178,434.599,435.527,,"-5,38%","-9,30%","4,43%","0,21%",504.11,476.202,424.162,509.725,595.045,,"-5,54%","-10,93%","20,17%","16,74%",479.729,471.769,456.275,447.747,469.818,,"-1,66%","-3,28%","-1,87%","4,93%",112.202,107.484,106.758,103.738,116.72,,"-4,21%","-0,68%","-2,83%","12,51%"
West Virginia,72.568,72.217,68.805,70.481,72.323,,"-0,48%","-4,73%","2,44%","2,61%",77.248,74.383,66.805,85.557,111.566,,"-3,71%","-10,19%","28,07%","30,40%",272.385,265.405,234.752,247.068,251.959,,"-2,56%","-11,55%","5,25%","1,98%",79.304,71.387,56.707,60.236,60.254,,"-9,98%","-20,56%","6,22%","0,03%"
Wisconsin,368.462,360.116,348.291,354.215,356.569,,"-2,27%","-3,28%","1,70%","0,66%",381.226,373.547,358.336,414.011,484.664,,"-2,01%","-4,07%","15,54%","17,07%",478.675,451.297,434.965,446.216,470.221,,"-5,72%","-3,62%","2,59%","5,38%",132.174,117.209,105.829,108.382,122.575,,"-11,32%","-9,71%","2,41%","13,09%"
Wyoming,41.738,40.885,36.837,36.482,37.193,,"-2,04%","-9,90%","-0,96%","1,95%",45.421,41.583,33.43,44.744,60.843,,"-8,45%","-19,61%","33,84%","35,98%",386.088,361.777,296.574,307.141,311.579,,"-6,30%","-18,02%","3,56%","1,44%",351.085,327.742,262.057,279.289,283.692,,"-6,65%","-20,04%","6,58%","1,58%"
