"year","location_code","prodinit_ippu_glass_tonne"
2010,"COL",162411.248966705
2011,"COL",161903.012420881
2012,"COL",174707.230978175
2013,"COL",148428.483356774
2014,"COL",158442.835622477
2015,"COL",133168.352563122
2016,"COL",130585.601910494
2017,"COL",144207.417603742
2018,"COL",139790.068460354
2019,"COL",124799.308558643
2020,"COL",111680.908370495
2010,"COM",300.963861976415
2011,"COM",389.271244229631
2012,"COM",79.3575010218504
2013,"COM",140.902074332317
2014,"COM",138.33952265761
2015,"COM",217.011679396963
2016,"COM",173.546335479935
2017,"COM",237.977810926912
2018,"COM",305.745123900688
2019,"COM",226.56520846798
2020,"COM",163.930399299801
2010,"CPV",739.393417421657
2011,"CPV",578.686694745486
2012,"CPV",606.378613240854
2013,"CPV",530.263380504049
2014,"CPV",574.430534508186
2015,"CPV",474.01323003928
2016,"CPV",623.85379050023
2017,"CPV",658.625221386596
2018,"CPV",857.395892690403
2019,"CPV",949.336850387496
2020,"CPV",978.363581133362
2010,"CRI",25640.9071907611
2011,"CRI",25822.5141799294
2012,"CRI",28358.3641777655
2013,"CRI",28335.0473034967
2014,"CRI",28175.768366466
2015,"CRI",30235.2939796777
2016,"CRI",28050.7280600012
2017,"CRI",31708.0748548513
2018,"CRI",36413.1228462395
2019,"CRI",36638.8406999203
2020,"CRI",27148.527354939
2010,"CUB",22970.9222869926
2011,"CUB",17961.192691319
2012,"CUB",20100.2941605475
2013,"CUB",20276.071520512
2014,"CUB",14352.5855613372
2015,"CUB",24679.2515772375
2016,"CUB",28508.6212181106
2017,"CUB",24124.2271188636
2018,"CUB",26803.8555141544
2019,"CUB",28063.2512493619
2020,"CUB",24124.7573397607
2010,"CUW",565.831420621282
2011,"CUW",1123.50169310888
2012,"CUW",674.679385639202
2013,"CUW",384.644781002024
2014,"CUW",418.992657803996
2015,"CUW",807.159061451329
2016,"CUW",302.537972190845
2017,"CUW",249.304393152704
2018,"CUW",565.831420621282
2019,"CUW",565.831420621282
2020,"CUW",565.831420621282
2010,"CYM",1111.70497687873
2011,"CYM",1111.70497687873
2012,"CYM",1111.70497687873
2013,"CYM",1111.70497687873
2014,"CYM",1111.70497687873
2015,"CYM",1111.70497687873
2016,"CYM",1111.70497687873
2017,"CYM",1082.13089250948
2018,"CYM",1348.11873240195
2019,"CYM",1075.73336136763
2020,"CYM",940.836921235834
2010,"CYP",6905.37220789925
2011,"CYP",7136.19786779843
2012,"CYP",6034.82679286383
2013,"CYP",5020.26354564109
2014,"CYP",3689.25039389318
2015,"CYP",3869.96904033163
2016,"CYP",4188.83656352641
2017,"CYP",4621.46298158947
2018,"CYP",4680.56400235111
2019,"CYP",4540.03422282847
2020,"CYP",3340.46920363528
2010,"CZE",260239.481302884
2011,"CZE",277643.73163059
2012,"CZE",226488.04357623
2013,"CZE",229073.04183072
2014,"CZE",215100.258327985
2015,"CZE",200128.090846625
2016,"CZE",209188.464637074
2017,"CZE",240268.538300483
2018,"CZE",266794.095881152
2019,"CZE",261651.533615642
2020,"CZE",236361.924051063
2010,"DEU",2088906.89096634
2011,"DEU",2175501.43111642
2012,"DEU",1817127.05237017
2013,"DEU",1924895.71236633
2014,"DEU",1979040.89326025
2015,"DEU",1816562.79200647
2016,"DEU",1869950.48159666
2017,"DEU",2023516.3658417
2018,"DEU",2142840.23456387
2019,"DEU",1963338.13921905
2020,"DEU",1878894.73743317
2010,"DJI",2347.65653015587
2011,"DJI",2347.65653015587
2012,"DJI",2347.65653015587
2013,"DJI",1168.67055892236
2014,"DJI",1449.05544208516
2015,"DJI",1896.78171052592
2016,"DJI",2482.7169919404
2017,"DJI",2627.34714908642
2018,"DJI",2667.05700840851
2019,"DJI",3151.78955158111
2020,"DJI",3337.8338286971
2010,"DMA",177.878820832091
2011,"DMA",144.722785940118
2012,"DMA",161.429149392604
