Year,iso_code3,ef_ippu_tonne_cf4_per_tonne_production_metals
2018,CZE,0.0
2019,CZE,0.0
2020,CZE,0.0
2010,DEU,7.621612565557071e-07
2011,DEU,6.951872136800857e-07
2012,DEU,6.702428361224811e-07
2013,DEU,6.147215705597643e-07
2014,DEU,6.876265990476545e-07
2015,DEU,7.922138709388646e-07
2016,DEU,8.110747718722103e-07
2017,DEU,7.632210872171216e-07
2018,DEU,6.923600699145493e-07
2019,DEU,1.0665889659791855e-06
2020,DEU,1.094217107355776e-06
2010,DJI,0.0
2011,DJI,0.0
2012,DJI,0.0
2013,DJI,0.0
2014,DJI,0.0
2015,DJI,0.0
2016,DJI,0.0
2017,DJI,0.0
2018,DJI,0.0
2019,DJI,0.0
2020,DJI,0.0
2010,DMA,0.0
2011,DMA,0.0
2012,DMA,0.0
2013,DMA,0.0
2014,DMA,0.0
2015,DMA,0.0
2016,DMA,0.0
2017,DMA,0.0
2018,DMA,0.0
2019,DMA,0.0
2020,DMA,0.0
2010,DNK,0.0
2011,DNK,0.0
2012,DNK,0.0
2013,DNK,0.0
2014,DNK,0.0
2015,DNK,0.0
2016,DNK,0.0
2017,DNK,0.0
2018,DNK,0.0
2019,DNK,0.0
2020,DNK,0.0
2010,DOM,0.0
2011,DOM,0.0
2012,DOM,0.0
2013,DOM,0.0
2014,DOM,0.0
2015,DOM,0.0
2016,DOM,0.0
2017,DOM,0.0
2018,DOM,0.0
2019,DOM,0.0
2020,DOM,0.0
2010,DZA,0.0
2011,DZA,0.0
2012,DZA,0.0
2013,DZA,0.0
2014,DZA,0.0
2015,DZA,0.0
2016,DZA,0.0
2017,DZA,0.0
2018,DZA,0.0
2019,DZA,0.0
2020,DZA,0.0
2010,ECU,0.0
2011,ECU,0.0
2012,ECU,0.0
2013,ECU,0.0
2014,ECU,0.0
2015,ECU,0.0
2016,ECU,0.0
2017,ECU,0.0
2018,ECU,0.0
2019,ECU,0.0
2020,ECU,0.0
2010,EGY,4.903726838008054e-06
2011,EGY,4.616872431566265e-06
2012,EGY,3.9938251405445066e-06
2013,EGY,3.795784056154224e-06
2014,EGY,3.1605157491685336e-06
2015,EGY,2.82121115527483e-06
2016,EGY,3.489049898719376e-06
2017,EGY,4.162912845766174e-06
2018,EGY,3.739224626328166e-06
2019,EGY,3.851040271873261e-06
2020,EGY,3.430521219522008e-06
2010,ERI,0.0
2011,ERI,0.0
2012,ERI,0.0
2013,ERI,0.0
2014,ERI,0.0
2015,ERI,0.0
2016,ERI,0.0
2017,ERI,0.0
2018,ERI,0.0
2019,ERI,0.0
2020,ERI,0.0
2010,ESP,3.732717377905016e-06
2011,ESP,2.9968726008057216e-06
2012,ESP,3.1297912759338817e-06
2013,ESP,1.627506524496681e-06
2014,ESP,1.598665110586546e-06
2015,ESP,2.5623195606352737e-06
2016,ESP,2.8359004932910043e-06
2017,ESP,2.5946536933239926e-06
2018,ESP,2.3303047347447355e-06
2019,ESP,2.4277772935527783e-06
2020,ESP,2.527489321064614e-06
2010,EST,0.0
2011,EST,0.0
2012,EST,0.0
2013,EST,0.0
2014,EST,0.0
2015,EST,0.0
2016,EST,0.0
2017,EST,0.0
2018,EST,0.0
2019,EST,0.0
2020,EST,0.0
2010,ETH,0.0
2011,ETH,0.0
2012,ETH,0.0
2013,ETH,0.0
2014,ETH,0.0
2015,ETH,0.0
2016,ETH,0.0
2017,ETH,0.0
2018,ETH,0.0
2019,ETH,0.0
2020,ETH,0.0
2010,FIN,0.0
2011,FIN,0.0
2012,FIN,0.0
2013,FIN,0.0
2014,FIN,0.0
2015,FIN,0.0
2016,FIN,0.0
2017,FIN,0.0
2018,FIN,0.0
2019,FIN,0.0
2020,FIN,0.0
2010,FJI,0.0
2011,FJI,0.0
2012,FJI,0.0
2013,FJI,0.0
2014,FJI,0.0
2015,FJI,0.0
2016,FJI,0.0
2017,FJI,0.0
2018,FJI,0.0
2019,FJI,0.0
2020,FJI,0.0
2010,FRA,2.277615510755302e-07
2011,FRA,1.8470585143051741e-07
