"year","location_code","prodinit_ippu_rubber_and_leather_tonne"
2019,"DEU",807715.270330947
2020,"DEU",848601.867628151
2010,"DJI",540.75519821784
2011,"DJI",540.75519821784
2012,"DJI",540.75519821784
2013,"DJI",345.335539670208
2014,"DJI",455.955132113092
2015,"DJI",593.84026878554
2016,"DJI",673.740899155578
2017,"DJI",548.639562852337
2018,"DJI",419.940090048349
2019,"DJI",597.733014849798
2020,"DJI",690.857078267819
2010,"DMA",243.098792750971
2011,"DMA",189.107188510306
2012,"DMA",291.593688366429
2013,"DMA",303.558796462905
2014,"DMA",111.116085948471
2015,"DMA",45.1173291306565
2016,"DMA",63.5334692776787
2017,"DMA",46.0712871576154
2018,"DMA",46.6536367857479
2019,"DMA",148.872252710087
2020,"DMA",148.872252710087
2010,"DNK",29272.2936083134
2011,"DNK",26458.6815603273
2012,"DNK",25197.17274952
2013,"DNK",27999.330900128
2014,"DNK",30249.813527289
2015,"DNK",28636.4543659681
2016,"DNK",29681.6049238572
2017,"DNK",30228.5479532032
2018,"DNK",31680.9497477479
2019,"DNK",29512.4583652765
2020,"DNK",33714.5763530915
2010,"DOM",7012.2888080967
2011,"DOM",6891.69578853415
2012,"DOM",7280.78240274192
2013,"DOM",7810.64337635428
2014,"DOM",9325.94048504313
2015,"DOM",10718.1652403502
2016,"DOM",10116.9427136264
2017,"DOM",9452.58189901628
2018,"DOM",9076.28496846161
2019,"DOM",9512.48698132631
2020,"DOM",8252.99028906846
2010,"DZA",12045.6767067327
2011,"DZA",12819.1055664413
2012,"DZA",17159.6960992333
2013,"DZA",14957.2005762767
2014,"DZA",16040.177996312
2015,"DZA",15003.1052748656
2016,"DZA",15080.2507582073
2017,"DZA",12741.6886237984
2018,"DZA",16338.6420162435
2019,"DZA",18838.8138905418
2020,"DZA",16243.7260995536
2010,"ECU",10652.0530988924
2011,"ECU",9667.20578831623
2012,"ECU",12171.5129088046
2013,"ECU",12143.7562146607
2014,"ECU",12485.2566741335
2015,"ECU",13704.5313164684
2016,"ECU",13481.8438884558
2017,"ECU",14839.0919685393
2018,"ECU",13936.4180000342
2019,"ECU",13957.1434283665
2020,"ECU",13449.7247197699
2010,"EGY",36276.8316299394
2011,"EGY",34946.0016607425
2012,"EGY",40515.2577296978
2013,"EGY",44588.3164847755
2014,"EGY",54957.8698772515
2015,"EGY",58076.9021149946
2016,"EGY",55205.853497176
2017,"EGY",34235.3268019445
2018,"EGY",36903.4894453181
2019,"EGY",43880.7133560166
2020,"EGY",52022.9637250429
2010,"ERI",573.59670850689
2011,"ERI",675.252087478465
2012,"ERI",624.424397992677
2013,"ERI",624.424397992677
2014,"ERI",624.424397992677
2015,"ERI",624.424397992677
2016,"ERI",624.424397992677
2017,"ERI",624.424397992677
2018,"ERI",624.424397992677
2019,"ERI",624.424397992677
2020,"ERI",624.424397992677
2010,"ESP",383671.734316957
2011,"ESP",371907.259850483
2012,"ESP",322802.62858497
2013,"ESP",342562.802675394
2014,"ESP",346214.238576702
2015,"ESP",331312.051072824
2016,"ESP",334974.333770585
2017,"ESP",327687.111332954
2018,"ESP",347453.078071301
2019,"ESP",352317.442849857
2020,"ESP",354280.558772856
2010,"EST",4513.30948904076
2011,"EST",4772.09295017411
2012,"EST",5444.39580917833
2013,"EST",5544.59210063357
2014,"EST",6016.37461292111
2015,"EST",4856.23430444296
2016,"EST",4063.42828105633
2017,"EST",4251.53481394542
2018,"EST",4880.94002675388
2019,"EST",4997.07247518854
2020,"EST",4965.11527716857
2010,"ETH",12433.234183099
2011,"ETH",6276.00182568528
2012,"ETH",7516.02549233728
2013,"ETH",10781.3636057122
2014,"ETH",15706.1885126279
2015,"ETH",13300.2703789436
2016,"ETH",14857.6442949202
2017,"ETH",15271.5424652554
2018,"ETH",13623.9102574865
2019,"ETH",14871.3913134085
2020,"ETH",12128.0036846135
2010,"FIN",39128.5510932023
2011,"FIN",40025.1553921883
2012,"FIN",40067.5918383533
2013,"FIN",40614.6318295771
2014,"FIN",40766.0881495706
2015,"FIN",38208.3041129178
2016,"FIN",37337.6462358519
2017,"FIN",37763.558024327
2018,"FIN",37886.5043057169
2019,"FIN",36986.6174906049
2020,"FIN",38216.9451788216
2010,"FJI",253.219976409033
2011,"FJI",225.210568629644
2012,"FJI",317.344430081302
2013,"FJI",297.284289656814
2014,"FJI",353.760346564472
2015,"FJI",457.683144671605
2016,"FJI",553.25359206223
2017,"FJI",463.092717509099
2018,"FJI",498.155745052774
2019,"FJI",416.230704203202
2020,"FJI",476.904355065299
2010,"FRA",748312.477269814
2011,"FRA",722552.658730891
2012,"FRA",713054.561972417
2013,"FRA",738598.809398323
2014,"FRA",739070.752205255
2015,"FRA",694567.773625967
2016,"FRA",694878.267286337
2017,"FRA",696721.033531123
2018,"FRA",774734.231971351
2019,"FRA",815927.929536266
2020,"FRA",845227.158576633
2010,"FRO",112.142301100949
2011,"FRO",95.3930945105081
2012,"FRO",93.2457930278667
