Year,iso_code3,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration
2034,LKA,0.1184188161152436
2035,LKA,0.1184188161152436
2036,LKA,0.1184188161152436
2037,LKA,0.1184188161152436
2038,LKA,0.1184188161152436
2039,LKA,0.1184188161152436
2040,LKA,0.1184188161152436
2041,LKA,0.1184188161152436
2042,LKA,0.1184188161152436
2043,LKA,0.1184188161152436
2044,LKA,0.1184188161152436
2045,LKA,0.1184188161152436
2046,LKA,0.1184188161152436
2047,LKA,0.1184188161152436
2048,LKA,0.1184188161152436
2049,LKA,0.1184188161152436
2050,LKA,0.1184188161152436
2021,LSO,0.0
2022,LSO,0.0
2023,LSO,0.0
2024,LSO,0.0
2025,LSO,0.0
2026,LSO,0.0
2027,LSO,0.0
2028,LSO,0.0
2029,LSO,0.0
2030,LSO,0.0
2031,LSO,0.0
2032,LSO,0.0
2033,LSO,0.0
2034,LSO,0.0
2035,LSO,0.0
2036,LSO,0.0
2037,LSO,0.0
2038,LSO,0.0
2039,LSO,0.0
2040,LSO,0.0
2041,LSO,0.0
2042,LSO,0.0
2043,LSO,0.0
2044,LSO,0.0
2045,LSO,0.0
2046,LSO,0.0
2047,LSO,0.0
2048,LSO,0.0
2049,LSO,0.0
2050,LSO,0.0
2021,LTU,0.6994931330732865
2022,LTU,0.6994931330732865
2023,LTU,0.6994931330732865
2024,LTU,0.6994931330732865
2025,LTU,0.6994931330732865
2026,LTU,0.6994931330732865
2027,LTU,0.6994931330732865
2028,LTU,0.6994931330732865
2029,LTU,0.6994931330732865
2030,LTU,0.6994931330732865
2031,LTU,0.6994931330732865
2032,LTU,0.6994931330732865
2033,LTU,0.6994931330732865
2034,LTU,0.6994931330732865
2035,LTU,0.6994931330732865
2036,LTU,0.6994931330732865
2037,LTU,0.6994931330732865
2038,LTU,0.6994931330732865
2039,LTU,0.6994931330732865
2040,LTU,0.6994931330732865
2041,LTU,0.6994931330732865
2042,LTU,0.6994931330732865
2043,LTU,0.6994931330732865
2044,LTU,0.6994931330732865
2045,LTU,0.6994931330732865
2046,LTU,0.6994931330732865
2047,LTU,0.6994931330732865
2048,LTU,0.6994931330732865
2049,LTU,0.6994931330732865
2050,LTU,0.6994931330732865
2021,LUX,0.0093482544382881
2022,LUX,0.0093482544382881
2023,LUX,0.0093482544382881
2024,LUX,0.0093482544382881
2025,LUX,0.0093482544382881
2026,LUX,0.0093482544382881
2027,LUX,0.0093482544382881
2028,LUX,0.0093482544382881
2029,LUX,0.0093482544382881
2030,LUX,0.0093482544382881
2031,LUX,0.0093482544382881
2032,LUX,0.0093482544382881
2033,LUX,0.0093482544382881
2034,LUX,0.0093482544382881
2035,LUX,0.0093482544382881
2036,LUX,0.0093482544382881
2037,LUX,0.0093482544382881
2038,LUX,0.0093482544382881
2039,LUX,0.0093482544382881
2040,LUX,0.0093482544382881
2041,LUX,0.0093482544382881
2042,LUX,0.0093482544382881
2043,LUX,0.0093482544382881
2044,LUX,0.0093482544382881
2045,LUX,0.0093482544382881
2046,LUX,0.0093482544382881
2047,LUX,0.0093482544382881
2048,LUX,0.0093482544382881
2049,LUX,0.0093482544382881
2050,LUX,0.0093482544382881
2021,LVA,0.5068292754519171
2022,LVA,0.5068292754519171
2023,LVA,0.5068292754519171
2024,LVA,0.5068292754519171
2025,LVA,0.5068292754519171
2026,LVA,0.5068292754519171
2027,LVA,0.5068292754519171
2028,LVA,0.5068292754519171
2029,LVA,0.5068292754519171
2030,LVA,0.5068292754519171
2031,LVA,0.5068292754519171
2032,LVA,0.5068292754519171
2033,LVA,0.5068292754519171
2034,LVA,0.5068292754519171
2035,LVA,0.5068292754519171
2036,LVA,0.5068292754519171
2037,LVA,0.5068292754519171
2038,LVA,0.5068292754519171
2039,LVA,0.5068292754519171
2040,LVA,0.5068292754519171
2041,LVA,0.5068292754519171
2042,LVA,0.5068292754519171
2043,LVA,0.5068292754519171
2044,LVA,0.5068292754519171
2045,LVA,0.5068292754519171
2046,LVA,0.5068292754519171
2047,LVA,0.5068292754519171
2048,LVA,0.5068292754519171
2049,LVA,0.5068292754519171
2050,LVA,0.5068292754519171
2021,MAC,0.0
2022,MAC,0.0
2023,MAC,0.0
2024,MAC,0.0
2025,MAC,0.0
2026,MAC,0.0
2027,MAC,0.0
2028,MAC,0.0
2029,MAC,0.0
2030,MAC,0.0
2031,MAC,0.0
2032,MAC,0.0
2033,MAC,0.0
2034,MAC,0.0
2035,MAC,0.0
2036,MAC,0.0
2037,MAC,0.0
2038,MAC,0.0
2039,MAC,0.0
2040,MAC,0.0
2041,MAC,0.0
2042,MAC,0.0
2043,MAC,0.0
2044,MAC,0.0
2045,MAC,0.0
2046,MAC,0.0
2047,MAC,0.0
2048,MAC,0.0
2049,MAC,0.0
2050,MAC,0.0
2021,MAF,0.0
2022,MAF,0.0
2023,MAF,0.0
2024,MAF,0.0
2025,MAF,0.0
2026,MAF,0.0
2027,MAF,0.0
2028,MAF,0.0
2029,MAF,0.0
2030,MAF,0.0
2031,MAF,0.0
2032,MAF,0.0
2033,MAF,0.0
2034,MAF,0.0
2035,MAF,0.0
2036,MAF,0.0
2037,MAF,0.0
2038,MAF,0.0
2039,MAF,0.0
2040,MAF,0.0
2041,MAF,0.0
2042,MAF,0.0
2043,MAF,0.0
2044,MAF,0.0
2045,MAF,0.0
2046,MAF,0.0
2047,MAF,0.0
2048,MAF,0.0
2049,MAF,0.0
2050,MAF,0.0
2021,MAR,0.3354208113697842
2022,MAR,0.3354208113697842
2023,MAR,0.3354208113697842
2024,MAR,0.3354208113697842
2025,MAR,0.3354208113697842
2026,MAR,0.3354208113697842
2027,MAR,0.3354208113697842
2028,MAR,0.3354208113697842
2029,MAR,0.3354208113697842
2030,MAR,0.3354208113697842
2031,MAR,0.3354208113697842
2032,MAR,0.3354208113697842
2033,MAR,0.3354208113697842
2034,MAR,0.3354208113697842
2035,MAR,0.3354208113697842
2036,MAR,0.3354208113697842
2037,MAR,0.3354208113697842
2038,MAR,0.3354208113697842
2039,MAR,0.3354208113697842
2040,MAR,0.3354208113697842
2041,MAR,0.3354208113697842
2042,MAR,0.3354208113697842
2043,MAR,0.3354208113697842
2044,MAR,0.3354208113697842
2045,MAR,0.3354208113697842
2046,MAR,0.3354208113697842
2047,MAR,0.3354208113697842
2048,MAR,0.3354208113697842
2049,MAR,0.3354208113697842
2050,MAR,0.3354208113697842
2021,MCO,0.1972394917407481
2022,MCO,0.1972394917407481
2023,MCO,0.1972394917407481
2024,MCO,0.1972394917407481
2025,MCO,0.1972394917407481
2026,MCO,0.1972394917407481
2027,MCO,0.1972394917407481
2028,MCO,0.1972394917407481
2029,MCO,0.1972394917407481
2030,MCO,0.1972394917407481
2031,MCO,0.1972394917407481
2032,MCO,0.1972394917407481
2033,MCO,0.1972394917407481
2034,MCO,0.1972394917407481
2035,MCO,0.1972394917407481
2036,MCO,0.1972394917407481
2037,MCO,0.1972394917407481
2038,MCO,0.1972394917407481
2039,MCO,0.1972394917407481
2040,MCO,0.1972394917407481
2041,MCO,0.1972394917407481
2042,MCO,0.1972394917407481
2043,MCO,0.1972394917407481
2044,MCO,0.1972394917407481
2045,MCO,0.1972394917407481
2046,MCO,0.1972394917407481
2047,MCO,0.1972394917407481
2048,MCO,0.1972394917407481
2049,MCO,0.1972394917407481
2050,MCO,0.1972394917407481
2021,MDA,0.1413067934713855
2022,MDA,0.1413067934713855
2023,MDA,0.1413067934713855
2024,MDA,0.1413067934713855
2025,MDA,0.1413067934713855
2026,MDA,0.1413067934713855
2027,MDA,0.1413067934713855
2028,MDA,0.1413067934713855
2029,MDA,0.1413067934713855
2030,MDA,0.1413067934713855
2031,MDA,0.1413067934713855
2032,MDA,0.1413067934713855
2033,MDA,0.1413067934713855
2034,MDA,0.1413067934713855
2035,MDA,0.1413067934713855
2036,MDA,0.1413067934713855
2037,MDA,0.1413067934713855
2038,MDA,0.1413067934713855
2039,MDA,0.1413067934713855
2040,MDA,0.1413067934713855
2041,MDA,0.1413067934713855
2042,MDA,0.1413067934713855
2043,MDA,0.1413067934713855
2044,MDA,0.1413067934713855
2045,MDA,0.1413067934713855
2046,MDA,0.1413067934713855
2047,MDA,0.1413067934713855
2048,MDA,0.1413067934713855
2049,MDA,0.1413067934713855
2050,MDA,0.1413067934713855
2021,MDG,1.1941759058156076
2022,MDG,1.1941759058156076
2023,MDG,1.1941759058156076
2024,MDG,1.1941759058156076
2025,MDG,1.1941759058156076
2026,MDG,1.1941759058156076
2027,MDG,1.1941759058156076
2028,MDG,1.1941759058156076
2029,MDG,1.1941759058156076
2030,MDG,1.1941759058156076
2031,MDG,1.1941759058156076
2032,MDG,1.1941759058156076
