Year,iso_code3,ef_ippu_tonne_sf6_per_tonne_production_electronics
2013,CRI,0.0
2014,CRI,0.0
2015,CRI,0.0
2016,CRI,0.0
2017,CRI,0.0
2018,CRI,0.0
2019,CRI,0.0
2020,CRI,0.0
2010,CUB,0.0
2011,CUB,0.0
2012,CUB,0.0
2013,CUB,0.0
2014,CUB,0.0
2015,CUB,0.0
2016,CUB,0.0
2017,CUB,0.0
2018,CUB,0.0
2019,CUB,0.0
2020,CUB,0.0
2010,CUW,0.0
2011,CUW,0.0
2012,CUW,0.0
2013,CUW,0.0
2014,CUW,0.0
2015,CUW,0.0
2016,CUW,0.0
2017,CUW,0.0
2018,CUW,0.0
2019,CUW,0.0
2020,CUW,0.0
2010,CYM,0.0
2011,CYM,0.0
2012,CYM,0.0
2013,CYM,0.0
2014,CYM,0.0
2015,CYM,0.0
2016,CYM,0.0
2017,CYM,0.0
2018,CYM,0.0
2019,CYM,0.0
2020,CYM,0.0
2010,CYP,2.388711517121853e-07
2011,CYP,4.80387682758355e-07
2012,CYP,4.7288563221792843e-07
2013,CYP,5.470040878126813e-07
2014,CYP,7.229146245024771e-07
2015,CYP,8.994773520203776e-07
2016,CYP,2.690846320557568e-07
2017,CYP,2.957211352017983e-07
2018,CYP,2.815646342090989e-07
2019,CYP,2.823977938625707e-07
2020,CYP,3.7681356960889e-07
2010,CZE,3.32162861254672e-08
2011,CZE,1.2058872569583418e-07
2012,CZE,1.8324907542282933e-07
2013,CZE,5.811131832625803e-08
2014,CZE,5.073854940899504e-08
2015,CZE,6.073693314703914e-08
2016,CZE,9.040105340441833e-08
2017,CZE,5.1682087167888565e-08
2018,CZE,3.45847607075548e-08
2019,CZE,3.2701060569755616e-08
2020,CZE,3.18966708434864e-08
2010,DEU,5.60166892640771e-07
2011,DEU,5.515604147647669e-07
2012,DEU,5.377881004869685e-07
2013,DEU,5.234643925792541e-07
2014,DEU,4.981527887327806e-07
2015,DEU,5.383082057197188e-07
2016,DEU,4.199651064146786e-07
2017,DEU,3.956906179610586e-07
2018,DEU,3.5561357881948495e-07
2019,DEU,3.550995715950873e-07
2020,DEU,3.516136802224216e-07
2010,DJI,0.0
2011,DJI,0.0
2012,DJI,0.0
2013,DJI,0.0
2014,DJI,0.0
2015,DJI,0.0
2016,DJI,0.0
2017,DJI,0.0
2018,DJI,0.0
2019,DJI,0.0
2020,DJI,0.0
2010,DMA,0.0
2011,DMA,0.0
2012,DMA,0.0
2013,DMA,0.0
2014,DMA,0.0
2015,DMA,0.0
2016,DMA,0.0
2017,DMA,0.0
2018,DMA,0.0
2019,DMA,0.0
2020,DMA,0.0
2010,DNK,3.625390683756424e-07
2011,DNK,4.026134590372853e-07
2012,DNK,4.01443078578135e-07
2013,DNK,5.778045687993695e-07
2014,DNK,3.516962885692368e-07
2015,DNK,6.415747582664219e-08
2016,DNK,3.711117694216326e-07
2017,DNK,1.5874104739231738e-07
2018,DNK,1.0349441360555386e-07
2019,DNK,9.968328270087967e-08
2020,DNK,1.001167268508124e-07
2010,DOM,0.0
2011,DOM,0.0
2012,DOM,0.0
2013,DOM,0.0
2014,DOM,0.0
2015,DOM,0.0
2016,DOM,0.0
2017,DOM,0.0
2018,DOM,0.0
2019,DOM,0.0
2020,DOM,0.0
2010,DZA,0.0
2011,DZA,0.0
2012,DZA,0.0
2013,DZA,0.0
2014,DZA,0.0
2015,DZA,0.0
2016,DZA,0.0
2017,DZA,0.0
2018,DZA,0.0
2019,DZA,0.0
2020,DZA,0.0
2010,ECU,0.0
2011,ECU,0.0
2012,ECU,0.0
2013,ECU,0.0
2014,ECU,0.0
2015,ECU,0.0
2016,ECU,0.0
2017,ECU,0.0
2018,ECU,0.0
2019,ECU,0.0
2020,ECU,0.0
2010,EGY,8.458130006289991e-07
2011,EGY,7.699338304713084e-07
2012,EGY,6.540620857578434e-07
2013,EGY,6.503454629608642e-07
2014,EGY,4.789589830060467e-07
2015,EGY,4.290325308672044e-07
2016,EGY,3.845049812792248e-07
2017,EGY,5.284028040048497e-07
2018,EGY,5.076189987662593e-07
2019,EGY,4.4050533415239254e-07
2020,EGY,4.1554694066842753e-07
2010,ERI,0.0
2011,ERI,0.0
2012,ERI,0.0
2013,ERI,0.0
2014,ERI,0.0
2015,ERI,0.0
2016,ERI,0.0
2017,ERI,0.0
2018,ERI,0.0
2019,ERI,0.0
2020,ERI,0.0
2010,ESP,1.8712803541474566e-07
2011,ESP,2.2792536944698507e-07
2012,ESP,1.3279471879305212e-07
2013,ESP,1.0272248932698522e-07
2014,ESP,7.128541202118222e-08
2015,ESP,9.077978568507633e-08
2016,ESP,1.1301782378430584e-07
2017,ESP,1.0016245301010552e-07
2018,ESP,7.388016539071754e-08
2019,ESP,7.313686561795396e-08
2020,ESP,7.28388216675715e-08
2010,EST,1.0175778328884613e-08
2011,EST,6.091925249480964e-09
2012,EST,8.146573656133704e-09
2013,EST,7.436658392069707e-09
2014,EST,5.488115751982753e-09
2015,EST,7.363121171090301e-09
2016,EST,5.098164649927181e-09
2017,EST,4.726377587897667e-09
2018,EST,4.941610593437742e-09
2019,EST,5.590202271764209e-09
2020,EST,5.537945595676301e-09
2010,ETH,0.0
2011,ETH,0.0
2012,ETH,0.0
2013,ETH,0.0
2014,ETH,0.0
2015,ETH,0.0
2016,ETH,0.0
2017,ETH,0.0
2018,ETH,0.0
2019,ETH,0.0
2020,ETH,0.0
2010,FIN,1.737718372720611e-08
2011,FIN,1.4682036739159866e-08
2012,FIN,2.02281209383018e-09
2013,FIN,2.429813618375358e-09
2014,FIN,5.827518615018823e-09
2015,FIN,2.267903385428205e-09
2016,FIN,4.6821872209946036e-09
2017,FIN,8.342103510098811e-09
2018,FIN,6.813481228016169e-09
2019,FIN,7.043026056303136e-09
2020,FIN,7.037992980523417e-09
2010,FJI,0.0
2011,FJI,0.0
2012,FJI,0.0
2013,FJI,0.0
2014,FJI,0.0
2015,FJI,0.0
2016,FJI,0.0
2017,FJI,0.0
2018,FJI,0.0
2019,FJI,0.0
2020,FJI,0.0
2010,FRA,7.642041015196352e-07
2011,FRA,6.096596191024799e-07
2012,FRA,6.555386521497609e-07
2013,FRA,5.6289884718384e-07
2014,FRA,4.820644041194954e-07
2015,FRA,5.980704681113942e-07
2016,FRA,5.525054375431855e-07
2017,FRA,5.256431019419872e-07
2018,FRA,4.0425397345568106e-07
2019,FRA,3.4186426137972965e-07
2020,FRA,3.514750102311453e-07
2010,FRO,0.0
2011,FRO,0.0
2012,FRO,0.0
2013,FRO,0.0
2014,FRO,0.0
2015,FRO,0.0
2016,FRO,0.0
2017,FRO,0.0
2018,FRO,0.0
2019,FRO,0.0
2020,FRO,0.0
2010,FSM,0.0
2011,FSM,0.0
2012,FSM,0.0
2013,FSM,0.0
2014,FSM,0.0
2015,FSM,0.0
2016,FSM,0.0
2017,FSM,0.0
2018,FSM,0.0
2019,FSM,0.0
2020,FSM,0.0
2010,GAB,0.0
2011,GAB,0.0
2012,GAB,0.0
2013,GAB,0.0
2014,GAB,0.0
2015,GAB,0.0
2016,GAB,0.0
2017,GAB,0.0
2018,GAB,0.0
2019,GAB,0.0
2020,GAB,0.0
2010,GBR,4.0916854229091755e-07
2011,GBR,4.1523508587976893e-07
2012,GBR,4.234629458330078e-07
2013,GBR,3.484938909010165e-07
2014,GBR,3.152120149550205e-07
2015,GBR,3.081862468708541e-07
2016,GBR,3.4308582820583164e-07
2017,GBR,3.6468406734073546e-07
2018,GBR,3.566965944492088e-07
2019,GBR,3.512468682796303e-07
2020,GBR,3.646501261625229e-07
2010,GEO,0.0
2011,GEO,0.0
2012,GEO,0.0
2013,GEO,0.0
2014,GEO,0.0
2015,GEO,0.0
2016,GEO,0.0
2017,GEO,0.0
2018,GEO,0.0
2019,GEO,0.0
2020,GEO,0.0
2010,GHA,0.0
2011,GHA,0.0
2012,GHA,0.0
2013,GHA,0.0
2014,GHA,0.0
2015,GHA,0.0
2016,GHA,0.0
2017,GHA,0.0
2018,GHA,0.0
2019,GHA,0.0
2020,GHA,0.0
2010,GIB,0.0
2011,GIB,0.0
2012,GIB,0.0
2013,GIB,0.0
2014,GIB,0.0
2015,GIB,0.0
2016,GIB,0.0
2017,GIB,0.0
2018,GIB,0.0
2019,GIB,0.0
2020,GIB,0.0
2010,GIN,0.0
2011,GIN,0.0
2012,GIN,0.0
2013,GIN,0.0
2014,GIN,0.0
2015,GIN,0.0
2016,GIN,0.0
2017,GIN,0.0
2018,GIN,0.0
2019,GIN,0.0
2020,GIN,0.0
2010,GMB,0.0
2011,GMB,0.0
2012,GMB,0.0
2013,GMB,0.0
2014,GMB,0.0
2015,GMB,0.0
2016,GMB,0.0
2017,GMB,0.0
2018,GMB,0.0
2019,GMB,0.0
2020,GMB,0.0
2010,GNB,0.0
2011,GNB,0.0
2012,GNB,0.0
2013,GNB,0.0
2014,GNB,0.0
2015,GNB,0.0
2016,GNB,0.0
2017,GNB,0.0
2018,GNB,0.0
2019,GNB,0.0
2020,GNB,0.0
2010,GNQ,0.0
2011,GNQ,0.0
2012,GNQ,0.0
2013,GNQ,0.0
2014,GNQ,0.0
2015,GNQ,0.0
2016,GNQ,0.0
2017,GNQ,0.0
2018,GNQ,0.0
2019,GNQ,0.0
2020,GNQ,0.0
2010,GRC,0.0
2011,GRC,0.0
2012,GRC,0.0
2013,GRC,0.0
2014,GRC,0.0
2015,GRC,0.0
2016,GRC,0.0
2017,GRC,0.0
2018,GRC,0.0
2019,GRC,0.0
2020,GRC,0.0
2010,GRD,0.0
2011,GRD,0.0
2012,GRD,0.0
2013,GRD,0.0
2014,GRD,0.0
2015,GRD,0.0
2016,GRD,0.0
2017,GRD,0.0
2018,GRD,0.0
2019,GRD,0.0
2020,GRD,0.0
2010,GRL,0.0
2011,GRL,0.0
2012,GRL,0.0
2013,GRL,0.0
2014,GRL,0.0
2015,GRL,0.0
2016,GRL,0.0
2017,GRL,0.0
2018,GRL,0.0
2019,GRL,0.0
2020,GRL,0.0
2010,GTM,0.0
2011,GTM,0.0
2012,GTM,0.0
2013,GTM,0.0
2014,GTM,0.0
2015,GTM,0.0
2016,GTM,0.0
2017,GTM,0.0
2018,GTM,0.0
2019,GTM,0.0
2020,GTM,0.0
2010,GUM,0.0
2011,GUM,0.0
2012,GUM,0.0
2013,GUM,0.0
2014,GUM,0.0
2015,GUM,0.0
2016,GUM,0.0
2017,GUM,0.0
2018,GUM,0.0
2019,GUM,0.0
2020,GUM,0.0
2010,GUY,0.0
2011,GUY,0.0
2012,GUY,0.0
2013,GUY,0.0
2014,GUY,0.0
2015,GUY,0.0
2016,GUY,0.0
2017,GUY,0.0
2018,GUY,0.0
2019,GUY,0.0
2020,GUY,0.0
2010,HKG,0.0
2011,HKG,0.0
2012,HKG,0.0
2013,HKG,0.0
2014,HKG,0.0
2015,HKG,0.0
2016,HKG,0.0
2017,HKG,0.0
2018,HKG,0.0
2019,HKG,0.0
2020,HKG,0.0
2010,HND,0.0
2011,HND,0.0
2012,HND,0.0
2013,HND,0.0
2014,HND,0.0
2015,HND,0.0
2016,HND,0.0
2017,HND,0.0
2018,HND,0.0
2019,HND,0.0
2020,HND,0.0
2010,HRV,0.0
2011,HRV,0.0
2012,HRV,0.0
2013,HRV,0.0
2014,HRV,0.0
2015,HRV,0.0
2016,HRV,0.0
2017,HRV,0.0
2018,HRV,0.0
2019,HRV,0.0
2020,HRV,0.0
2010,HTI,0.0
2011,HTI,0.0
2012,HTI,0.0
2013,HTI,0.0
2014,HTI,0.0
2015,HTI,0.0
2016,HTI,0.0
2017,HTI,0.0
2018,HTI,0.0
2019,HTI,0.0
2020,HTI,0.0
2010,HUN,4.205046363490238e-07
2011,HUN,2.504891103216329e-07
2012,HUN,2.69328799118953e-07
2013,HUN,5.439628062743339e-07
2014,HUN,3.39667442271894e-07
2015,HUN,7.666588836984896e-07
2016,HUN,7.129378298403708e-07
2017,HUN,4.072970724907914e-07
2018,HUN,1.29478445158588e-07
2019,HUN,1.1366314845226196e-07
2020,HUN,1.1550786607908624e-07
2010,IDN,1.0869908751803365e-07
2011,IDN,1.0060417535528101e-07
2012,IDN,9.82396020846837e-08
2013,IDN,1.005433024677438e-07
2014,IDN,1.0362236263982973e-07
2015,IDN,1.0103880742426408e-07
2016,IDN,9.141890216943045e-08
2017,IDN,8.979897854290678e-08
2018,IDN,9.087754175571712e-08
2019,IDN,7.832470255580613e-08
2020,IDN,7.610566291640825e-08
2010,IMN,8.30128312043453e-07
2011,IMN,1.0782762243918938e-06
2012,IMN,9.92645889367751e-07
2013,IMN,1.1982531326434488e-06
2014,IMN,8.625013640738434e-07
2015,IMN,1.1925168646142566e-06
2016,IMN,8.248358316002622e-07
2017,IMN,7.6057330786048e-07
2018,IMN,1.0030332888036634e-06
2019,IMN,9.552221949858271e-07
2020,IMN,9.105421448869722e-07
2010,IND,1.1163033299972997e-07
2011,IND,1.3471874407189378e-07
2012,IND,1.7000663059189577e-07
2013,IND,1.903114393785437e-07
2014,IND,2.0393409054897734e-07
2015,IND,1.826570392667412e-07
2016,IND,1.7798720009983244e-07
2017,IND,1.7599405664340845e-07
2018,IND,1.694445578610277e-07
2019,IND,1.6076723897780516e-07
2020,IND,1.7739110645602834e-07
2010,IRL,8.30128312043453e-07
2011,IRL,1.0782762243918938e-06
2012,IRL,9.92645889367751e-07
2013,IRL,1.1982531326434488e-06
2014,IRL,8.625013640738434e-07
2015,IRL,1.1925168646142566e-06
2016,IRL,8.248358316002622e-07
2017,IRL,7.6057330786048e-07
2018,IRL,1.0030332888036634e-06
2019,IRL,9.552221949858271e-07
2020,IRL,9.105421448869722e-07
2010,IRN,3.910569345140343e-06
2011,IRN,2.5930318322394777e-06
2012,IRN,3.896297064285162e-06
2013,IRN,4.47821518488607e-06
2014,IRN,3.4144441146285205e-06
2015,IRN,3.948650528918899e-06
2016,IRN,3.252381701266016e-06
2017,IRN,3.463337124126633e-06
2018,IRN,5.5430554627937545e-06
2019,IRN,7.0264587305862285e-06
2020,IRN,6.241665436215186e-06
2010,IRQ,0.0
2011,IRQ,0.0
2012,IRQ,0.0
2013,IRQ,0.0
2014,IRQ,0.0
2015,IRQ,0.0
2016,IRQ,0.0
2017,IRQ,0.0
2018,IRQ,0.0
2019,IRQ,0.0
2020,IRQ,0.0
2010,ISL,0.0
2011,ISL,0.0
2012,ISL,0.0
2013,ISL,0.0
2014,ISL,0.0
2015,ISL,0.0
2016,ISL,0.0
2017,ISL,0.0
2018,ISL,0.0
2019,ISL,0.0
2020,ISL,0.0
2010,ISR,4.887872655878227e-07
2011,ISR,5.416182846318054e-07
2012,ISR,5.643216756928001e-07
2013,ISR,5.684798841918608e-07
2014,ISR,5.842608914919276e-07
2015,ISR,5.485776230923682e-07
2016,ISR,6.360781408575915e-07
2017,ISR,8.208063845913858e-07
2018,ISR,8.862602090364186e-07
2019,ISR,8.797854754536612e-07
2020,ISR,7.3132702669924e-07
2010,ITA,3.518236646901509e-07
2011,ITA,5.000975442512645e-07
2012,ITA,6.224637299190351e-07
2013,ITA,6.007264691025025e-07
2014,ITA,3.565412172182032e-07
2015,ITA,6.784241197857105e-07
2016,ITA,4.857941641626862e-07
2017,ITA,4.4075634919291284e-07
2018,ITA,4.781594844584693e-07
2019,ITA,4.71809194967091e-07
