SUBJECT,LOCATION,TIME,Value,INDICATOR,MEASURE,FREQUENCY
COAST,NPL,2013,8577.933226,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BLR,2012,30304.8,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ECU,2011,14924.43633,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CMR,2021,10058.44011,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PYF,2014,8697.244088,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HTI,2015,7463.479429,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,JPN,2015,180381,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SAU,2020,186864.1729,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CAF,2017,8015.614398,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,IRQ,2012,27208.76418,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BFA,2019,7869.845255,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DNK,2016,6850.06181,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GUY,2019,8547.315454,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BDI,2012,8250.60596,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CPV,2011,8377.686186,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BWA,2019,9568.286328,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GUY,2020,8562.204441,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ETH,2012,16897.09083,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ECU,2015,16161.29241,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,NAM,2014,8781.218675,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CRI,2012,10573.37504,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,FRA,2011,67402.71454,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ISL,2014,13,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BLR,2017,31318.5,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AGO,2012,18276.40685,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHL,2019,12442,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ISL,2015,30,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BTN,2013,8501.351282,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BDI,2015,8224.105392,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AUS,2019,203585.2279,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BHR,2011,9612.958524,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GHA,2020,15586.9332,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PRT,2013,12626.7,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,STP,2019,8358.534891,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ZWE,2017,7365.541508,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BDI,2018,8160.554794,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AUS,2021,209667.1447,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CAN,2013,227070.1636,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BOL,2020,8502.225399,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,COL,2020,119559.1771,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,LKA,2017,28738.09761,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,NAM,2020,8742.276289,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GEO,2013,925.8,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,STP,2021,8364.812165,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BHR,2014,10719.2788,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SOM,2014,7128.620728,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GEO,2014,846.45,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PER,2011,49155.55102,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MOZ,2016,6987.500274,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARG,2015,133452.2336,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HRV,2017,208,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BTN,2019,8546.954367,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ISL,2021,9087.299244,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HND,2019,8603.40661,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BHR,2017,11250.15715,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AFG,2020,7700.592663,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DOM,2016,18716.34709,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AGO,2020,27360.88768,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GEO,2016,614.67,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ESP,2013,40773,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CUB,2011,16413.85475,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HUN,2018,15939.09329,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,KAZ,2019,404,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,COM,2014,8359.5724,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DOM,2018,20609.51382,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PRT,2021,39094.83732,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SEN,2013,7691.847883,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,KWT,2017,10828.08002,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HUN,2020,14455.92646,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,NCL,2016,4224.835463,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HRV,2011,217,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SOM,2020,6725.698293,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHE,2011,10554.83597,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ESP,2017,49698,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BGD,2014,84377.30667,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,JOR,2014,8256.944736,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,OMN,2020,21181.64922,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SUR,2019,8524.974705,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,FRA,2014,60144.98751,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MLI,2019,7084.771901,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CAN,2014,239125.3636,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BEL,2018,67400.27278,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CUB,2016,19030.17647,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,IDN,2013,341056.7905,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,UGA,2019,8135.400015,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,POL,2018,134464.05,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHE,2014,10836.99009,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,COM,2020,8354.215096,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BWA,2017,9689.603606,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GHA,2014,10737.56332,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARE,2017,54876.36378,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ABW,2020,12602.74931,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,EST,2011,1,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARM,2016,782.55,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,KEN,2016,10697.22951,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AUT,2015,14429.864,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHE,2017,10550.17173,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BEN,2011,7772.856361,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BIH,2018,1647.3,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,EST,2013,1,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,NER,2013,8077.648607,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SRB,2017,2661.3,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CMR,2016,8853.983211,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CPV,2013,8382.605006,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ALB,2020,1061.30585,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,EST,2014,1,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MAR,2019,31226.90126,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AFG,2013,7940.354389,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BIH,2019,1695,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MAR,2020,32274.93626,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SVN,2016,1948.5,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARM,2020,9474.510093,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MRT,2021,8138.657632,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BIH,2021,10654.69832,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PYF,2011,8663.565166,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARM,2021,9503.659725,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SVN,2018,2222.1,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SGP,2015,38073.18464,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARE,2013,45862.2239,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SAU,2018,183260.9761,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHN,2021,5521336.565,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,STP,2011,8363.844844,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MNG,2015,8562.952723,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HTI,2014,7476.539459,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SGP,2017,41498.90496,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GIN,2011,7854.947112,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BRN,2019,4209.319281,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,NAM,2011,8710.084779,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ITA,2018,58984,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARE,2016,54615.65028,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ISR,2020,41489.41308,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ISL,2011,43,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GBR,2016,29100,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BRA,2012,598854.3614,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CYP,2018,9594.207997,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CUB,2019,19254.48435,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BEN,2021,7683.086207,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PAN,2014,12313.78564,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CYP,2019,9776.947102,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HTI,2018,7314.378875,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BRA,2014,646413.9834,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHL,2017,10005,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARE,2019,55108.99628,FREIGHTTRANSP,MLN_TONNEKM,A
