,regio,time_period,ab_frac_trns_mtkm_dem_freight_road_heavy_freight
295,guatemala,7,0.6439476684830617
296,guatemala,8,0.6439476684830617
297,guatemala,9,0.6439476684830617
298,guatemala,10,0.6439476684830617
299,guatemala,11,0.6439476684830617
300,guatemala,12,0.6439476684830617
301,guatemala,13,0.6439476684830617
302,guatemala,14,0.6439476684830617
303,guatemala,15,0.6439476684830617
304,guatemala,16,0.6439476684830617
305,guatemala,17,0.6439476684830617
306,guatemala,18,0.6439476684830617
307,guatemala,19,0.6439476684830617
308,guatemala,20,0.6439476684830617
309,guatemala,21,0.6439476684830617
310,guatemala,22,0.6439476684830617
311,guatemala,23,0.6439476684830617
312,guatemala,24,0.6439476684830617
313,guatemala,25,0.6439476684830617
314,guatemala,26,0.6439476684830617
315,guatemala,27,0.6439476684830617
316,guatemala,28,0.6439476684830617
317,guatemala,29,0.6439476684830617
318,guatemala,30,0.6439476684830617
319,guatemala,31,0.6439476684830617
320,guatemala,32,0.6439476684830617
321,guatemala,33,0.6439476684830617
322,guatemala,34,0.6439476684830617
323,guatemala,35,0.6439476684830617
324,honduras,0,0.7266141254081258
325,honduras,1,0.7266150631054773
326,honduras,2,0.7266166093627503
327,honduras,3,0.7266146050706612
328,honduras,4,0.7266082285976867
329,honduras,5,0.7266153590238127
330,honduras,6,0.7266153590238127
331,honduras,7,0.7266153590238127
332,honduras,8,0.7266153590238127
333,honduras,9,0.7266153590238127
334,honduras,10,0.7266153590238127
335,honduras,11,0.7266153590238127
336,honduras,12,0.7266153590238127
337,honduras,13,0.7266153590238127
338,honduras,14,0.7266153590238127
339,honduras,15,0.7266153590238127
340,honduras,16,0.7266153590238127
341,honduras,17,0.7266153590238127
342,honduras,18,0.7266153590238127
343,honduras,19,0.7266153590238127
344,honduras,20,0.7266153590238127
345,honduras,21,0.7266153590238127
346,honduras,22,0.7266153590238127
347,honduras,23,0.7266153590238127
348,honduras,24,0.7266153590238127
349,honduras,25,0.7266153590238127
350,honduras,26,0.7266153590238127
351,honduras,27,0.7266153590238127
352,honduras,28,0.7266153590238127
353,honduras,29,0.7266153590238127
354,honduras,30,0.7266153590238127
355,honduras,31,0.7266153590238127
356,honduras,32,0.7266153590238127
357,honduras,33,0.7266153590238127
358,honduras,34,0.7266153590238127
359,honduras,35,0.7266153590238127
360,jamaica,0,0.7266065219588226
361,jamaica,1,0.7265793657420369
362,jamaica,2,0.7265939158301993
363,jamaica,3,0.7265786568805008
364,jamaica,4,0.7265896012390464
365,jamaica,5,0.7265895946789835
366,jamaica,6,0.7265895946789835
367,jamaica,7,0.7265895946789835
368,jamaica,8,0.7265895946789835
369,jamaica,9,0.7265895946789835
370,jamaica,10,0.7265895946789835
371,jamaica,11,0.7265895946789835
372,jamaica,12,0.7265895946789835
373,jamaica,13,0.7265895946789835
374,jamaica,14,0.7265895946789835
375,jamaica,15,0.7265895946789835
376,jamaica,16,0.7265895946789835
377,jamaica,17,0.7265895946789835
378,jamaica,18,0.7265895946789835
379,jamaica,19,0.7265895946789835
380,jamaica,20,0.7265895946789835
381,jamaica,21,0.7265895946789835
382,jamaica,22,0.7265895946789835
383,jamaica,23,0.7265895946789835
384,jamaica,24,0.7265895946789835
385,jamaica,25,0.7265895946789835
386,jamaica,26,0.7265895946789835
387,jamaica,27,0.7265895946789835
388,jamaica,28,0.7265895946789835
389,jamaica,29,0.7265895946789835
390,jamaica,30,0.7265895946789835
391,jamaica,31,0.7265895946789835
392,jamaica,32,0.7265895946789835
393,jamaica,33,0.7265895946789835
394,jamaica,34,0.7265895946789835
395,jamaica,35,0.7265895946789835
396,mexico,0,0.6849887272435096
397,mexico,1,0.684828545267641
398,mexico,2,0.6843559567958877
399,mexico,3,0.6837235805865968
400,mexico,4,0.6804301396274218
401,mexico,5,0.6714872309425566
402,mexico,6,0.6714872309425566
403,mexico,7,0.6714872309425566
404,mexico,8,0.6714872309425566
405,mexico,9,0.6714872309425566
406,mexico,10,0.6714872309425566
407,mexico,11,0.6714872309425566
408,mexico,12,0.6714872309425566
409,mexico,13,0.6714872309425566
410,mexico,14,0.6714872309425566
411,mexico,15,0.6714872309425566
412,mexico,16,0.6714872309425566
413,mexico,17,0.6714872309425566
414,mexico,18,0.6714872309425566
415,mexico,19,0.6714872309425566
416,mexico,20,0.6714872309425566
417,mexico,21,0.6714872309425566
418,mexico,22,0.6714872309425566
419,mexico,23,0.6714872309425566
420,mexico,24,0.6714872309425566
421,mexico,25,0.6714872309425566
422,mexico,26,0.6714872309425566
423,mexico,27,0.6714872309425566
424,mexico,28,0.6714872309425566
425,mexico,29,0.6714872309425566
426,mexico,30,0.6714872309425566
427,mexico,31,0.6714872309425566
428,mexico,32,0.6714872309425566
429,mexico,33,0.6714872309425566
430,mexico,34,0.6714872309425566
431,mexico,35,0.6714872309425566
432,nicaragua,0,0.7223816475278327
433,nicaragua,1,0.722394315051124
434,nicaragua,2,0.7224073093448559
435,nicaragua,3,0.7224205983470775
436,nicaragua,4,0.7224341506124855
437,nicaragua,5,0.7224479253239152
438,nicaragua,6,0.7224479253239152
439,nicaragua,7,0.7224479253239152
440,nicaragua,8,0.7224479253239152
441,nicaragua,9,0.7224479253239152
442,nicaragua,10,0.7224479253239152
443,nicaragua,11,0.7224479253239152
444,nicaragua,12,0.7224479253239152
445,nicaragua,13,0.7224479253239152
446,nicaragua,14,0.7224479253239152
447,nicaragua,15,0.7224479253239152
448,nicaragua,16,0.7224479253239152
449,nicaragua,17,0.7224479253239152
450,nicaragua,18,0.7224479253239152
451,nicaragua,19,0.7224479253239152
452,nicaragua,20,0.7224479253239152
453,nicaragua,21,0.7224479253239152
454,nicaragua,22,0.7224479253239152
455,nicaragua,23,0.7224479253239152
456,nicaragua,24,0.7224479253239152
457,nicaragua,25,0.7224479253239152
458,nicaragua,26,0.7224479253239152
459,nicaragua,27,0.7224479253239152
460,nicaragua,28,0.7224479253239152
461,nicaragua,29,0.7224479253239152
462,nicaragua,30,0.7224479253239152
463,nicaragua,31,0.7224479253239152
464,nicaragua,32,0.7224479253239152
465,nicaragua,33,0.7224479253239152
466,nicaragua,34,0.7224479253239152
467,nicaragua,35,0.7224479253239152
468,panama,0,0.6290880670144351
469,panama,1,0.6337449633659903
470,panama,2,0.6386326111601601
471,panama,3,0.642546188572136
472,panama,4,0.6461398404110525
473,panama,5,0.6498421030593018
474,panama,6,0.6498421030593018
475,panama,7,0.6498421030593018
476,panama,8,0.6498421030593018
477,panama,9,0.6498421030593018
478,panama,10,0.6498421030593018
479,panama,11,0.6498421030593018
480,panama,12,0.6498421030593018
481,panama,13,0.6498421030593018
482,panama,14,0.6498421030593018
483,panama,15,0.6498421030593018
484,panama,16,0.6498421030593018
485,panama,17,0.6498421030593018
486,panama,18,0.6498421030593018
487,panama,19,0.6498421030593018
488,panama,20,0.6498421030593018
489,panama,21,0.6498421030593018
490,panama,22,0.6498421030593018
491,panama,23,0.6498421030593018
492,panama,24,0.6498421030593018
493,panama,25,0.6498421030593018
494,panama,26,0.6498421030593018
495,panama,27,0.6498421030593018
496,panama,28,0.6498421030593018
497,panama,29,0.6498421030593018
498,panama,30,0.6498421030593018
499,panama,31,0.6498421030593018
500,panama,32,0.6498421030593018
501,panama,33,0.6498421030593018
